ID,channel,PID_EB9,PID_AB3,PID_NSS,multicast_address,min_rate,max_rate,channel_function,Field9,Field10,Field11,Field12,Field13,Field14,Field15,Field16,Field17,Field18,Field19,Field20,Field21,Field22,Field23,Field24,Field25,Field26,Field27,Field28
14,"Info-Channel-1",100,100,1921,"224.223.222.34:3611",3000,273000,"static info, software updates",,,,"","",,"","","","","","","","","","","","","",
15,"Info-Channel-2",100,100,1921,"224.223.222.36:3811",3000,273000,"demo, training data",,,,"","",,"","","","","","","","","","","","","",
16,"BMD-RA-VI",500,,,"224.223.222.22:2911",292000,292000,"BMD RA-VI data",,,,"","",,"","","","","","","","","","","","","",
17,"DWDSAT",302,,,"224.223.222.25:2711",1750426,1750426,"DWDSAT service",,,,"","",,"","","","","","","","","","","","","",
18,"SAF-Europe",500,,,"224.223.222.28:3011",137000,410000,"SAF Europe",,,,"","",,"","","","","","","","","","","","","",
19,"SAF-Americas",509,,1923,"224.223.222.249:2490",3800,91000,"SAF Europe/Americas",,,,"","",,"","","","","","","","","","","","","",
20,"SAF-Africa",301,301,,"224.223.222.33:3511",55000,324000,"SAF Europe/Africa",,,,"","",,"","","","","","","","","","","","","",
21,"SAF-Global",300,300,1922,"224.223.222.32:3411",50000,200000,"SAF Europe/Africa/Americas",,,,"","",,"","","","","","","","","","","","","",
22,"Americas-CH1",509,,1923,"224.223.222.250:2500",3800,456000,"products from data providers in the Americas",,,,"","",,"","","","","","","","","","","","","",
23,"DEVCOCAST-1",300,300,1922,"224.223.222.37:3911",73000,114000,"DevCoCast products",,,,"","",,"","","","","","","","","","","","","",
24,"RANET-1",301,301,,"224.223.222.38:4011",36000,73000,"RANET products",,,,"","",,"","","","","","","","","","","","","",
25,"AIDA-1",301,301,,"224.223.222.39:4111",18000,18000,"AIDA products",,,,"","",,"","","","","","","","","","","","","",
26,"WWW-Channel",100,100,1921,"224.223.222.40:4211",3000,72000,"WWW Content",,,,"","",,"","","","","","","","","","","","","",
